词牌名,韵律,中,平,仄,总数,分段字数
唐多令,平仄仄平平，中平中仄平。仄中平、中仄平平。中仄中平平仄仄，中中仄，仄平平。平仄仄平平，中平中仄平。仄中平、中仄平平。中仄中平平仄仄，中中仄，仄平平。,16,24,20,60,"[5, 5, 3, 4, 7, 3, 3, 5, 5, 3, 4, 7, 3, 3]"
破阵子,仄仄平平中仄，中平中仄平平。中仄中平平仄仄，中仄平平中仄平。中平中仄平。仄仄平平中仄，中平中仄平平。中仄中平平仄仄，中仄平平中仄平。中平中仄平。,18,24,20,62,"[6, 6, 7, 7, 5, 6, 6, 7, 7, 5]"
喝火令,仄仄平平仄，平平仄仄平。仄平平仄仄平平。中仄仄平平仄，中仄仄平平。仄仄平平仄，平平仄仄平。仄平平仄仄平平。仄仄平平，仄仄仄平平。仄仄仄平平仄，中仄仄平平。,3,30,32,65,"[5, 5, 7, 6, 5, 5, 5, 7, 4, 5, 6, 5]"
行香子,中仄平平，中仄平平。中平中、中仄平平。中平中仄，中仄平平。仄中平中，中平仄，中平平。中平中仄，中仄平平。中平中、中仄平平。中平中仄，中仄平平。仄中平ˇ中，中平ˇ仄，仄平ˇ平。,24,27,15,66,"[4, 4, 3, 4, 4, 4, 4, 3, 3, 4, 4, 3, 4, 4, 4, 4, 3, 3]"
风入松,中平中仄仄平平，中仄仄平平。中平中仄平平仄，中平中、中仄平平。中仄平平平仄，中平中仄平平。中平中仄仄平平，中仄仄平平。中平中仄平平仄，中平中、中仄平平。中仄平平平仄，中平中仄平平。,22,34,20,76,"[7, 5, 7, 3, 4, 6, 6, 7, 5, 7, 3, 4, 6, 6]"
金人捧露盘,『仄平平（增韵），平仄仄』，仄平平。仄仄仄、中仄平平。平平仄仄，仄中平平仄仄平平。仄平平仄，仄中平、中仄平平。平平仄，平平仄，平仄仄，仄平平。仄仄仄、中仄平平。平平仄仄，仄中平平仄仄平平。仄平平仄，仄中平、中仄平平。,8,38,35,81,"[3, 3, 3, 3, 4, 4, 8, 4, 3, 4, 3, 3, 3, 3, 3, 4, 4, 8, 4, 3, 4]"
八六子,仄平平，仄平平仄，平平仄仄平平。仄『仄仄平平仄仄，仄平平仄平平』，仄平仄平。平平平仄平平，仄仄仄平平仄，平平仄仄平平。仄仄仄、平平仄平平仄，『仄平平仄，仄平平仄』，平平『仄仄平平仄仄，平平平仄平平』。仄平平，平平去平去平。,0,50,36,86,"[3, 4, 6, 7, 6, 4, 6, 6, 6, 3, 6, 4, 4, 8, 6, 3, 6]"
雪梅香,仄平仄，平平仄仄仄平平。仄平平平仄，平平仄仄平平。中仄平平仄平仄，仄平平仄仄平平。仄平仄，仄仄平平，平仄平平。平平，仄平仄，仄仄平平，仄仄平平。仄仄平平，仄平仄仄平平。中仄平平仄平仄，仄平平仄仄平平。平平仄，仄仄平平，平仄平平。,2,51,41,94,"[3, 7, 5, 6, 7, 7, 3, 4, 4, 2, 3, 4, 4, 4, 6, 7, 7, 3, 4, 4]"
满庭芳,中仄平平，中平中仄，仄中平仄平平。仄平平仄，平仄仄平平。中仄平平仄仄，中中仄、中仄平平。平平仄，中平中仄，中仄仄平平。平平，平仄仄，平平仄仄，中仄平平。仄平仄平平，中仄平平。中仄中平仄仄，中中仄、中仄平平。平平仄，中平中仄，中仄仄平平。,21,40,34,95,"[4, 4, 6, 4, 5, 6, 3, 4, 3, 4, 5, 2, 3, 4, 4, 5, 4, 6, 3, 4, 3, 4, 5]"
水调歌头,中仄仄平仄，中仄仄平平。中平中仄平中，中仄仄平平。中仄平平中仄，中仄平平中仄，中仄仄平平。中仄仄平仄，中仄仄平平。中中中，中中仄，仄平平。中平中仄，平中平仄仄平平。『中仄平平中仄，中仄平平中仄』，中仄仄平平。中仄中平仄，中仄仄平平。,29,32,34,95,"[5, 5, 6, 5, 6, 6, 5, 5, 5, 3, 3, 3, 4, 7, 6, 6, 5, 5, 5]"
