词牌名,作者,韵脚
忆秦娥,李白,"[3,10,24,31,38,52]"
更漏子,温庭筠,"[6,12,18,23,26,29,35,41,46]"
巫山一段云,唐昭宗,"[10,17,22,28,34,41,46]"
望仙门,晏殊,"[7,10,17,20,31,38,49]"
占春芳,苏轼,"[11,23,28,35,46]"
朝天子,晁补之,"[5,12,16,21,29,36,39,46]"
忆少年,晁补之,"[12,22,29,36,46]"
西地锦,蔡伸,"[6,11,23,29,34,46]"
相思引,袁去华,"[7,14,23,37,46]"
落梅风,无名氏,"[7,13,20,23,36,43,46]"
江亭怨,无名氏,"[6,12,23,29,35,46]"
喜迁莺,韦庄,"[6,11,18,23,29,35,42,47]"
乌夜啼,南唐李煜,"[11,23,35,47]"
相思儿令,晏殊,"[11,22,28,35,47]"
阮郎归,南唐李煜,"[7,12,19,24,30,35,42,47]"
贺圣朝,冯延巳,"[7,11,23,35,47]"
甘草子,寇准,"[2,11,16,21,28,35,42,47]"
珠帘卷,欧阳修,"[6,12,23,35,47]"
画堂春,秦观,"[7,13,20,24,36,43,47]"
喜长新,王胜之,"[7,11,18,24,34,41,47]"
金盏子,无名氏,"[11,24,36,47]"
献天寿,无名氏,"[7,11,18,23,34,41,47]"
三字令,欧阳炯,"[6,9,15,24,30,33,39,48]"
山花子,南唐李璟,"[7,14,24,38,48]"
忆余杭,潘阆,"[18,23,30,36,43,48]"
秋蕊香,晏殊,"[6,12,19,25,32,35,42,48]"
胡捣练,晏殊,"[13,19,24,37,43,48]"
桃源忆故人,欧阳修,"[7,13,19,24,31,37,43,48]"
撼庭秋,晏殊,"[6,11,23,35,48]"
庆金枝,无名氏,"[5,11,23,36,43,48]"
烛影摇红,毛滂,"[11,23,29,36,48]"
朝中措,欧阳修,"[7,12,24,36,48]"
洞天春,欧阳修,"[6,12,19,24,30,36,48]"
庆春时,晏几道,"[12,25,35,48]"
眼儿媚,左誉,"[7,12,24,36,48]"
人月圆,王诜,"[12,24,36,48]"
喜团圆,晏几道,"[12,24,36,48]"
海棠春,秦观,"[7,14,24,31,38,48]"
武陵春,毛滂,"[12,19,24,36,43,48]"
东坡引,曹冠,"[5,10,17,22,30,36,43,48]"
东坡引,赵师侠,"[5,10,17,22,35,41,48,53]"
双鸂鶒,朱敦儒,"[6,12,18,24,30,36,42,48]"
鬲溪梅令,姜夔,"[7,10,19,24,31,34,43,48]"
伊州三台,赵师侠,"[6,12,17,24,30,36,41,48]"
双头莲令,赵师侠,"[7,12,19,24,31,36,43,48]"
梅弄影,丘崈,"[4,9,15,24,28,33,39,48]"
茅山逢故人,张雨,"[6,12,24,36,48]"
阳台梦,唐庄宗,"[7,14,26,37,49]"
月宫春,毛文锡,"[7,12,19,24,38,49]"
河渎神,温庭筠,"[5,11,18,24,31,37,43,49]"
归去来,柳永,"[6,11,18,24,29,36,43,49]"
惜春郎,柳永,"[7,12,24,31,36,49]"
极相思,无名氏,"[6,11,23,37,49]"
双韵子,张先,"[12,24,27,30,37,49]"
凤孤飞,晏几道,"[11,17,23,30,37,44,49]"
柳梢青,秦观,"[4,12,24,30,37,49]"
醉乡春,秦观,"[6,12,24,30,36,49]"
太常引,辛弃疾,"[7,12,17,24,37,42,49]"
应天长,韦庄,"[7,14,20,27,33,39,45,50]"
满宫花,尹鹗,"[6,12,25,31,37,50]"
少年游,晏殊,"[7,12,25,37,50]"
偷声木兰花,冯延巳,"[7,14,18,25,32,39,43,50]"
滴滴金,李遵勖,"[7,13,25,32,38,50]"
忆汉月,欧阳修,"[6,12,25,37,50]"
西江月,柳永,"[12,19,42,49]"
惜春令,杜安世,"[7,14,26,31,38,50]"
留春令,晏几道,"[12,25,32,37,50]"
梁州令,晏几道,"[5,11,25,32,37,50]"
盐角儿,晁补之,"[4,13,25,31,38,51]"
归田乐,晁补之,"[10,19,27,38,50]"
惜分飞,毛滂,"[7,13,18,25,32,38,43,50]"
孤馆深沉,权无染,"[7,12,25,37,50]"
促拍采桑子,朱敦儒,"[5,12,24,38,50]"
怨三三,李之仪,"[7,11,18,24,30,37,42,50]"
使牛子,曹冠,"[7,13,25,32,38,50]"
折丹桂,王之道,"[7,12,25,32,37,50]"
竹香子,刘过,"[6,12,24,30,37,50]"
城头月,马天骥,"[7,12,25,32,37,50]"
四犯令,侯寘,"[7,12,19,25,32,37,44,50]"
醉高歌,姚燧,"[17,24,30,47,54,60]"
黄鹤洞仙,马钰,"[10,20,25,35,45,50]"
破字令,无名氏,"[5,12,24,31,38,50]"
花前饮,无名氏,"[7,14,25,32,39,50]"
导引,无名氏,"[9,14,26,33,38,50]"
思越人,孙光宪,"[12,25,32,38,45,51]"
探春令,宋徽宗,"[12,19,25,32,37,51]"
越江吟,苏易简,"[7,9,15,18,22,25,32,35,41,48,51]"
燕归梁,晏殊,"[7,12,19,25,38,45,51]"
雨中花令,晏殊,"[6,12,24,31,38,51]"
凤来朝,周邦彦,"[5,12,20,26,32,39,45,51]"
秋夜雨,蒋捷,"[7,13,25,39,44,51]"
伊州令,无名氏,"[7,12,26,32,37,51]"
木笪,白朴,"[5,10,17,26,30,35,42,51]"
迎春乐,柳永,"[7,13,21,27,34,41,52]"
