词牌名,作者,韵脚
红芍药,王观,"[8,15,20,32,45,54,61,66,78,91]"
法曲献仙音,周邦彦,"[14,28,34,39,42,58,70,81,92]"
金盏倒垂莲,晁补之,"[13,22,35,45,60,69,82,92]"
塞翁吟,周邦彦,"[11,17,22,35,41,46,48,62,80,92]"
意难忘,苏轼,"[4,13,23,29,34,45,51,60,70,76,81,92]"
东风齐著力,胡浩然,"[12,21,34,45,50,59,68,81,92]"
远朝归,赵耆孙,"[13,23,34,37,46,61,71,82,85,92]"
露华,王沂孙,"[4,13,23,35,46,52,61,71,83,92]"
薄媚摘遍,桂香消,"[11,23,52,58,63,75,102]"
恋香衾,吕渭老,"[14,22,36,46,60,68,82,92]"
满江红,柳永,"[11,22,36,47,53,59,68,82,93]"
凄凉犯,姜夔,"[4,13,25,29,36,48,61,72,83,93]"
浣溪沙慢,周邦彦,"[10,19,28,33,45,48,67,76,81,93]"
四犯剪梅花,刘过,"[13,22,26,33,45,61,70,74,81,93]"
高平探芳新,吴文英,"[17,27,39,51,57,66,76,88,98]"
临江仙慢,柳永,"[13,22,24,35,47,49,59,68,70,81,93]"
雪明鳷鹊夜,宋徽宗,"[14,23,37,48,63,71,85,94]"
玉漏迟,宋祁,"[13,23,36,39,47,62,72,85,88,94]"
尾犯,柳永,"[13,22,36,49,60,69,83,94]"
驻马听,柳永,"[4,13,27,30,37,49,61,71,83,94]"
雪梅香,柳永,"[10,21,35,46,48,59,69,83,94]"
六幺令,柳永,"[9,20,31,35,46,57,68,79,83,94]"
保寿乐,曹勋,"[13,26,41,50,56,63,74,85,94]"
惜秋华,吴文英,"[13,23,36,38,47,52,62,72,85,87,94]"
古香慢,吴文英,"[12,22,34,47,54,62,72,84,94]"
芙蓉月,赵以夫,"[14,24,36,48,53,62,72,81,84,94]"
一枝春,杨缵,"[13,23,34,47,53,62,72,83,94]"
梅子黄时雨,张炎,"[13,22,36,39,47,49,53,62,71,85,88,94]"
如鱼水,柳永,"[14,18,24,27,34,48,54,60,64,70,73,80,94]"
赏松菊,曹勋,"[13,22,35,47,53,61,71,84,94]"
二色莲,曹勋,"[12,22,35,47,57,62,72,85,95]"
塞孤,柳永,"[8,14,21,27,39,47,57,63,70,76,88,95]"
水调歌头,毛滂,"[10,21,38,48,57,68,85,95]"
扫地游,周邦彦,"[13,17,26,36,39,48,53,62,66,75,85,88,95]"
满庭芳,晏几道,"[14,23,36,48,61,70,83,95]"
白雪,杨无咎,"[13,27,30,37,49,62,73,85,95]"
徵招,赵以夫,"[13,23,28,35,47,61,71,76,83,95]"
双瑞莲,赵以夫,"[5,14,24,37,40,48,63,73,86,89,95]"
玉京秋,周密,"[3,12,24,37,40,48,54,61,73,86,89,95]"
小圣乐,元好问,"[13,22,52,67,76,89,100]"
玉女迎春慢,彭元逊,"[13,19,25,29,36,48,62,74,78,85,95]"
玉梅香慢,无名氏,"[8,14,28,38,50,56,63,73,87,95]"
金浮图,尹鹗,"[3,7,15,23,33,39,48,51,55,63,67,75,81,91]"
阳台路,柳永,"[3,12,25,37,40,49,62,73,86,96]"
黄莺儿,柳永,"[7,23,34,48,50,60,74,85,96]"
天香,贺铸,"[14,28,32,39,51,57,64,74,80,88,96]"
熙州慢,张先,"[12,25,54,60,69,79,92,95,101]"
汉宫春,晁冲之,"[13,23,34,47,62,72,83,96]"
倦寻芳,王雱,"[12,22,35,47,62,72,79,86,96]"
剑器近,袁去华,"[3,10,16,19,22,29,35,38,40,45,57,75,79,89,96]"
秋兰香,陈亮,"[14,24,32,38,49,64,72,77,85,96]"
凤鸾双舞,汪元量,"[12,28,39,55,59,66,75,88,90,96]"
行香子慢,无名氏,"[4,13,22,35,47,49,53,62,71,84,96]"
甘露滴乔松,无名氏,"[13,23,41,53,68,78,96,106]"
庆千秋,无名氏,"[13,23,34,47,62,72,83,96]"
塞垣春,周邦彦,"[5,11,23,31,37,49,61,71,86,96]"
望云间,赵可,"[14,23,35,48,62,72,84,96]"
步月,史达祖,"[39,48,62,74,76,88,97,111,121]"
早梅香,无名氏,"[13,25,36,47,59,73,84,96]"
八声甘州,柳永,"[13,26,37,46,61,71,86,97]"
迷神引,柳永,"[7,13,21,30,38,46,55,62,72,81,89,97]"
醉蓬莱,柳永,"[13,22,35,47,63,72,85,97]"
凤凰台上忆吹箫,晁补之,"[14,25,38,49,64,75,88,97]"
夜合花,晁补之,"[14,24,29,36,48,54,63,73,78,85,97]"
采明珠,杜安世,"[13,23,28,49,52,55,60,63,71,76,97]"
庆清朝,王观,"[14,24,37,48,63,73,86,97]"
黄鹂绕碧树,周邦彦,"[13,26,37,50,56,63,75,87,97]"
帝台春,李甲,"[4,9,21,35,46,49,52,55,58,73,87,97]"
瑶台第一层,张元幹,"[12,24,36,48,50,61,73,85,88,97]"
暗香,姜夔,"[4,13,24,37,49,51,54,63,67,74,87,97]"
梦芙蓉,吴文英,"[5,14,23,28,34,48,54,63,72,77,83,97]"
西子妆,吴文英,"[14,28,32,39,51,54,63,77,81,88,97]"
玉京谣,吴文英,"[14,24,38,41,49,64,74,88,91,97]"
被花恼,杨缵,"[13,20,33,46,58,71,87,97]"
绿盖舞风轻,周密,"[14,27,38,49,51,64,77,88,97]"
月边娇,周密,"[13,27,38,49,63,77,81,88,97]"
松梢月,曹勋,"[4,13,23,37,49,63,73,87,97]"
四槛花,曹勋,"[4,12,22,36,39,49,55,63,73,87,97]"
长亭怨慢,姜夔,"[7,15,26,36,48,50,61,72,86,97]"
玉簟凉,史达祖,"[4,13,23,36,48,50,64,74,87,97]"
留客住,柳永,"[3,20,35,48,51,60,70,85,98]"
昼夜乐,柳永,"[7,13,25,32,39,49,56,62,74,88,98]"
雨中花慢,苏轼,"[14,24,36,49,63,74,86,98]"
万年欢,王安礼,"[4,13,23,36,49,64,74,87,98]"
燕春台,张先,"[14,24,30,37,49,65,75,86,89,98]"
逍遥乐,黄庭坚,"[6,16,30,34,45,54,60,66,77,88,98]"
八节长欢,毛滂,"[4,12,22,36,46,52,61,75,85,98]"
忆东坡,王之道,"[10,22,39,50,59,70,87,98]"
粉蝶儿慢,周邦彦,"[14,24,37,49,51,55,64,74,87,98]"
并蒂芙蓉,晁端礼,"[13,23,36,40,49,64,74,87,91,98]"
黄河清慢,晁端礼,"[7,13,23,36,49,64,74,87,98]"
春草碧,万俟咏,"[14,26,37,49,51,65,77,88,98]"
芰荷香,万俟咏,"[3,12,22,33,39,47,63,73,84,90,98]"
绣停针,陆游,"[12,26,30,37,49,54,63,77,81,88,98]"
扬州慢,姜夔,"[14,24,39,50,61,74,87,98]"
舞杨花,康与之,"[13,22,36,42,48,63,72,86,92,98]"
双双燕,史达祖,"[13,23,29,36,48,50,54,63,73,79,86,98]"
孤鸾,朱敦儒,"[4,13,23,36,47,55,64,74,87,98]"
云仙引,冯伟寿,"[14,20,33,45,51,59,71,86,98]"
玲珑玉,姚云文,"[11,21,36,38,45,60,71,88,98]"
陌上花,张翥,"[12,22,35,48,62,72,85,98]"
福寿千春,卢挚,"[8,14,27,38,50,56,65,78,88,98]"
夏日燕黉堂,无名氏,"[3,12,21,35,48,53,62,71,85,98]"
水晶帘,无名氏,"[5,12,25,39,50,55,64,73,87,98]"
三部乐,苏轼,"[4,13,23,39,49,64,74,81,88,92,99]"
梦扬州,秦观,"[3,12,22,36,49,55,64,74,88,99]"
声声慢,晁补之,"[14,24,37,49,64,74,87,99]"
紫玉箫,晁补之,"[14,27,38,49,64,77,88,99]"
无闷,程垓,"[14,23,29,37,50,52,58,64,72,78,86,99]"
月下笛,周邦彦,"[12,16,22,36,49,63,73,87,99]"
玲珑四犯,周邦彦,"[13,23,36,43,49,56,63,75,88,99]"
丁香结,周邦彦,"[14,19,28,40,52,54,65,77,88,93,99]"
琐寒窗,周邦彦,"[12,22,36,49,51,54,63,73,87,99]"
大有,潘希白,"[15,24,38,50,56,65,75,88,99]"
燕山亭,曾觌,"[14,18,28,39,41,50,65,79,90,92,99]"
聒龙谣,朱敦儒,"[14,23,37,50,65,74,88,99]"
金菊对芙蓉,康与之,"[14,23,37,49,55,64,73,87,99]"
催雪,姜夔,"[14,23,37,49,51,54,63,72,86,99]"
十月桃,张元幹,"[13,23,36,48,55,64,74,87,99]"
蜀溪春,曹勋,"[12,26,38,49,64,78,90,99]"
秋宵吟,姜夔,"[6,12,24,30,36,48,59,72,77,85,99]"
三姝媚,史达祖,"[5,14,27,38,50,56,65,78,89,99]"
凤池吟,吴文英,"[14,27,38,50,65,78,89,99]"
新雁过妆楼,吴文英,"[4,13,23,37,40,48,63,73,87,99]"
月华清,洪瑹,"[14,24,38,40,49,55,64,74,88,90,99]"
国香,张炎,"[4,13,23,36,49,63,73,86,99]"
飞龙宴,宋媛苏氏,"[13,23,29,36,49,51,56,65,75,81,88,92,99]"
御带花,欧阳修,"[13,26,37,49,77,88,100]"
定风波慢,柳永,"[13,26,32,39,41,50,55,63,77,83,90,92,100]"
芳草,韩缜,"[13,26,38,49,51,63,77,89,100]"
念奴娇,苏轼,"[13,26,39,49,64,77,90,100]"
解语花,秦观,"[13,17,26,30,37,49,55,64,68,77,81,88,100]"
绕佛阁,周邦彦,"[4,12,16,25,29,37,41,50,62,71,80,84,93,100]"
渡江云,周邦彦,"[14,28,39,51,53,82,96,105]"
腊梅香,吴师益,"[13,27,38,50,64,77,88,100]"
大椿,曹勋,"[14,24,38,50,65,75,89,100]"
八音谐,曹勋,"[14,24,38,50,66,76,89,100]"
绛都春,吴文英,"[4,13,24,31,38,50,52,65,76,83,90,100]"
琵琶仙,姜夔,"[13,24,38,50,65,76,90,100]"
换巢鸾凤,史达祖,"[4,13,23,30,38,55,58,67,81,95,105]"
东风第一枝,史达祖,"[14,26,37,50,57,64,76,87,100]"
高阳台,刘镇,"[14,24,38,49,65,75,89,100]"
春夏两相期,蒋捷,"[7,13,23,37,49,55,64,74,88,100]"
垂杨,陈允平,"[4,13,24,31,38,50,56,65,76,83,90,100]"
采绿吟,周密,"[12,24,38,84,99,110]"
长寿仙,赵孟頫,"[4,13,23,59,65,89,125]"
雪夜渔舟,虚靖真人,"[3,12,26,30,37,49,54,63,77,81,88,100]"
惜寒梅,无名氏,"[13,23,30,37,49,55,64,74,81,88,100]"
惜花春起早慢,无名氏,"[12,26,37,49,64,77,88,100]"
凤归云,柳永,"[10,19,32,48,72,85,101]"
木兰花慢,柳永,"[11,24,26,38,50,52,56,62,75,77,89,101]"
彩云归,柳永,"[7,14,29,41,52,54,65,77,90,101]"
满朝欢,柳永,"[14,24,37,49,65,75,89,101]"
桂枝香,王安石,"[4,13,23,37,49,56,65,75,89,101]"
锦堂春慢,司马光,"[14,24,36,49,64,74,87,101]"
喜朝天,张先,"[3,12,24,38,49,64,76,90,101]"
剪牡丹,张先,"[14,23,39,48,54,61,74,81,90,92,101]"
马家春慢,贺铸,"[14,25,38,50,56,65,77,90,101]"
梅香慢,贺铸,"[13,27,38,50,64,69,78,89,101]"
玉烛新,周邦彦,"[5,14,27,38,51,66,70,79,83,90,101]"
六花飞,曹勋,"[13,22,39,51,65,74,91,101]"
清风满桂楼,曹勋,"[4,14,28,40,51,56,66,80,85,92,101]"
映山红慢,元载,"[11,24,31,38,49,63,76,90,94,101]"
真珠帘,陆游,"[7,16,26,40,42,51,53,57,66,76,90,92,101]"
曲江秋,杨无咎,"[4,13,26,31,37,49,51,55,62,76,88,101]"
翠楼吟,姜夔,"[14,26,30,39,42,50,52,65,77,81,90,93,101]"
霓裳中序第一,姜夔,"[5,12,18,27,31,38,50,52,56,63,69,77,82,89,101]"
月当厅,史达祖,"[15,25,39,50,66,76,90,101]"
寿楼春,史达祖,"[5,14,24,30,37,51,57,66,76,82,89,101]"
秋色横空,白朴,"[4,13,26,32,40,50,56,65,78,84,92,101]"
舜韶新,郭子正,"[13,26,38,49,65,78,90,101]"
西平乐,柳永,"[11,29,39,42,48,65,72,86,92,102]"
山亭宴,张先,"[7,14,26,40,51,58,65,77,91,102]"
望春回,李甲,"[13,23,38,50,56,65,75,90,102]"
水龙吟,苏轼,"[13,25,37,52,58,65,77,89,102]"
斗百草,晁补之,"[11,25,37,50,67,82,92,95,102]"
石州慢,贺铸,"[12,24,41,51,53,65,75,92,102]"
上林春慢,晁补之,"[14,28,39,51,58,67,81,92,102]"
宴清都,周邦彦,"[5,14,26,39,52,66,78,91,102]"
庆春宫,周邦彦,"[14,28,39,51,57,65,79,90,102]"
忆旧游,周邦彦,"[13,27,38,51,53,65,79,90,102]"
花犯,周邦彦,"[12,16,25,32,37,49,65,75,90,102]"
瑞鹤仙,周邦彦,"[5,14,19,28,32,39,52,66,70,76,91,96,102]"
齐天乐,周邦彦,"[13,27,31,40,51,66,80,84,93,102]"
昼锦堂,周邦彦,"[14,24,38,51,53,65,75,89,102]"
氐州第一,周邦彦,"[14,28,39,51,58,65,78,91,102]"
花发状元红慢,刘几,"[13,17,26,38,50,64,71,78,90,102]"
恋芳春慢,万俟咏,"[14,24,37,50,66,76,89,102]"
瑶华,周密,"[4,13,26,37,50,65,78,89,102]"
湘春夜月,黄孝迈,"[9,20,35,48,60,75,86,102]"
曲游春,周密,"[14,27,32,39,52,54,58,67,80,85,92,102]"
竹马儿,柳永,"[13,26,40,54,67,73,79,94,103]"
长相思慢,柳永,"[14,28,32,41,45,52,67,79,90,103]"
雨霖铃,柳永,"[4,12,26,37,51,58,66,79,91,103]"
还京乐,周邦彦,"[12,25,30,37,48,52,67,80,92,103]"
双头莲,周邦彦,"[26,29,54,57,66,80,92,103]"
忆瑶姬,曹组,"[14,24,31,38,51,57,66,76,83,90,103]"
安平乐慢,万俟咏,"[14,28,41,46,52,67,79,90,103]"
望南云慢,沈公述,"[13,26,38,50,52,66,79,91,103]"
情久长,吕渭老,"[11,22,36,53,62,73,86,103]"
西江月慢,吕渭老,"[11,24,39,51,59,66,78,93,103]"
杏花天慢,曹勋,"[14,28,32,39,52,67,81,85,92,103]"
探春慢,姜夔,"[14,28,40,52,67,81,93,103]"
眉妩,姜夔,"[14,28,32,39,52,54,58,67,81,85,92,103]"
湘江静,史达祖,"[7,14,27,39,53,59,66,79,91,103]"
金盏子,吴文英,"[13,27,38,51,53,56,64,79,90,103]"
龙山会,赵以夫,"[5,14,19,28,40,51,66,71,80,92,103]"
春云怨,冯艾子,"[4,13,26,41,54,61,70,77,89,103]"
升平乐,吴奕,"[14,28,39,51,66,80,91,103]"
迎新春,柳永,"[11,16,22,29,38,43,50,58,67,81,91,96,104]"
归朝欢,柳永,"[7,14,28,33,40,52,59,66,80,85,92,104]"
双声子,柳永,"[14,28,40,52,66,80,92,104]"
永遇乐,苏轼,"[12,25,39,52,66,79,93,104]"
二郎神,柳永,"[3,10,25,39,52,54,62,77,91,104]"
倾杯乐,柳永,"[14,27,39,52,67,81,94,97,104]"
百宜娇,吕渭老,"[14,28,39,52,59,68,82,93,104]"
月中桂,赵彦端,"[13,26,31,38,52,58,67,80,92,104]"
澡兰香,吴文英,"[14,28,41,52,66,80,93,104]"
宴琼林,黄裳,"[14,28,39,52,65,72,77,91,104]"
潇湘逢故人慢,王安礼,"[13,18,27,38,51,66,71,80,91,104]"
惜余欢,黄庭坚,"[13,23,39,51,57,66,76,92,104]"
拜星月慢,周邦彦,"[14,23,40,49,57,65,76,84,92,104]"
绮寮怨,周邦彦,"[11,25,39,54,60,70,74,80,92,96,104]"
花心动,史达祖,"[13,27,41,52,58,67,81,95,104]"
向湖边,江纬,"[14,23,40,49,58,68,77,85,95,104]"
阳春,杨无咎,"[12,27,31,38,51,66,79,85,92,104]"
送入我门来,胡浩然,"[14,23,38,51,67,76,91,104]"
绕池游慢,韩淲,"[13,27,39,51,66,80,92,104]"
索酒,曹勋,"[14,28,40,52,68,82,94,104]"
瑞云浓慢,陈亮,"[14,28,41,53,59,67,81,92,104]"
霜花腴,吴文英,"[13,27,31,38,52,67,81,85,92,104]"
绮罗香,史达祖,"[14,24,38,52,68,78,92,104]"
玉连环,冯艾子,"[15,30,40,52,67,82,92,104]"
春从天上来,吴激,"[4,13,21,27,39,51,66,80,92,95,104]"
西湖月,黄子行,"[15,27,40,53,68,80,93,104]"
爱月夜眠迟慢,无名氏,"[13,27,39,51,66,80,92,104]"
合欢带,柳永,"[7,13,27,39,52,66,80,92,105]"
曲玉管,柳永,"[30,33,63,66,89,92,115]"
早梅芳慢,柳永,"[6,13,27,53,67,81,105]"
尉迟杯,柳永,"[3,11,23,27,35,48,54,63,77,84,92,105]"
花发沁园春,刘圻父,"[14,28,32,39,52,58,67,81,85,92,105]"
赏南枝,曾巩,"[14,28,34,41,52,58,67,81,87,94,105]"
南浦,程垓,"[14,28,39,43,52,67,81,92,96,105]"
西河,周邦彦,"[3,9,20,33,39,45,56,69,76,83,89,105]"
梦横塘,刘一止,"[14,25,37,52,67,78,92,105]"
西吴曲,刘过,"[7,15,26,37,51,66,69,85,105]"
秋霁,史达祖,"[13,27,31,38,41,50,66,80,87,105]"
清风八咏楼,王行,"[14,19,28,39,52,67,72,81,92,105]"
暗香疏影,张肎,"[4,13,24,37,49,64,78,92,105]"
真珠髻,无名氏,"[14,28,39,52,58,67,81,92,105]"
征部乐,柳永,"[11,18,25,31,38,52,66,82,87,94,106]"
解连环,柳永,"[4,13,29,40,53,59,68,84,95,106]"
内家娇,柳永,"[14,28,40,53,55,66,71,81,87,93,106]"
夜飞鹊慢,周邦彦,"[9,15,28,42,53,68,82,93,106]"
泛清波摘遍,晏几道,"[15,26,29,44,55,58,70,81,84,96,106]"
望明河,刘一止,"[13,26,39,52,58,67,80,93,106]"
楚宫春慢,僧挥,"[4,13,23,36,53,66,76,89,106]"
望海潮,柳永,"[14,28,33,42,53,59,68,82,87,96,107]"
望湘人,贺铸,"[15,23,29,41,54,60,69,80,88,94,107]"
青门饮,秦观,"[16,30,42,54,60,69,83,95,107]"
落梅,王诜,"[14,27,39,55,61,68,81,93,107]"
飞雪满群山,蔡伸,"[14,28,40,53,70,84,96,107]"
角招,赵以夫,"[3,12,17,25,29,36,42,53,55,59,68,73,81,85,92,98,107]"
一寸金,柳永,"[11,28,40,54,67,84,96,108]"
击梧桐,柳永,"[14,28,42,56,70,83,96,108]"
折红梅,杜安世,"[13,26,30,37,54,58,67,80,84,91,108]"
泛清苕,张先,"[4,13,26,40,53,59,68,81,95,108]"
薄幸,贺铸,"[4,11,24,38,53,66,82,86,98,108]"
倚阑人,曹勋,"[15,29,40,55,61,70,84,95,108]"
惜黄花慢,杨无咎,"[4,13,29,43,46,54,69,85,99,102,108]"
一萼红,姜夔,"[3,13,27,42,54,69,83,98,108]"
夺锦标,张埜,"[14,28,40,53,59,69,83,95,108]"
菩萨蛮慢,罗志仁,"[4,13,29,40,53,59,68,86,97,108]"
杜韦娘,杜安世,"[11,26,42,53,56,67,82,98,109]"
无愁可解,苏轼,"[8,14,25,32,39,54,56,69,80,87,94,109]"
过秦楼,李甲,"[14,28,33,40,53,70,84,96,109]"
江城子慢,吕渭老,"[5,13,16,25,28,43,55,70,73,82,85,100,109]"
江南春慢,吴文英,"[14,25,30,37,54,60,69,80,85,92,109]"
胄马索,无名氏,"[10,21,36,50,52,67,80,95,109]"
八宝妆,李甲,"[14,27,44,54,70,84,91,98,110]"
疏影,姜夔,"[4,13,27,41,54,69,83,97,110]"
大圣乐,康与之,"[34,49,61,75,88,103,115]"
高山流水,吴文英,"[7,14,25,32,45,55,57,69,80,87,100,110]"
慢卷紬,柳永,"[13,30,43,56,60,68,85,98,111]"
选冠子,周邦彦,"[14,28,42,55,72,86,100,111]"
霜叶飞,周邦彦,"[4,13,25,32,39,55,71,83,90,97,111]"
五彩结同心,赵彦端,"[14,28,42,55,70,84,98,111]"
透碧霄,柳永,"[3,10,22,34,41,54,68,80,92,99,112]"
玉山枕,柳永,"[10,26,40,55,62,68,84,98,113]"
期夜月,刘濬,"[7,12,18,28,30,37,42,58,72,83,85,92,97,113]"
轮台子,柳永,"[13,25,39,51,64,76,85,95,102,114]"
沁园春,苏轼,"[12,29,44,56,62,70,87,102,114]"
丹凤引,周邦彦,"[14,24,40,56,69,83,93,105,114]"
紫萸香慢,姚云文,"[13,24,39,56,58,62,68,81,93,110,114]"
瑶台月,无名氏,"[13,23,37,43,49,57,64,71,80,94,100,106,114]"
宣清,柳永,"[14,28,40,52,66,85,92,99,115]"
八归,姜夔,"[14,31,45,57,73,87,99,115]"
摸鱼儿,晁补之,"[13,26,29,39,43,57,66,72,85,88,98,102,116]"
贺新郎,叶梦得,"[5,16,29,36,51,57,64,75,88,95,110,116]"
子夜歌,彭元逊,"[13,26,39,56,69,82,93,106,117]"
吊严陵,李甲,"[12,20,34,41,53,62,67,69,82,96,102,108,119]"
金明池,秦观,"[14,28,44,59,66,75,89,105,120]"
送征衣,柳永,"[3,17,23,25,36,49,61,73,83,96,109,121]"
笛家,柳永,"[19,35,48,60,62,82,96,109,121]"
秋思耗,吴文英,"[5,14,26,38,44,63,65,69,76,80,88,100,106,117,123]"
春风袅娜,冯艾子,"[9,15,32,47,61,78,84,92,108,125]"
春雪间早梅,梅将雪共春,"[5,12,26,38,48,60,75,89,101,113,125]"
白苎,柳永,"[10,20,30,32,42,52,62,64,82,91,104,116,125]"
翠羽吟,蒋捷,"[3,6,11,22,34,47,54,62,77,89,101,107,114,126]"
六州,良夜永,"[8,19,26,35,42,47,64,73,84,91,94,100,107,112,129]"
十二时慢,晚晴初,"[13,20,26,39,56,69,82,93,106,114,119,130]"
兰陵王,雨初歇,"[3,9,23,28,34,48,53,62,69,85,90,92,95,104,111,120,131]"
大酺,周邦彦,"[13,27,41,55,68,73,81,99,111,117,127,133]"
破阵乐,柳永,"[12,25,37,54,66,68,82,95,105,133]"
瑞龙吟,周邦彦,"[3,13,27,30,40,54,68,78,87,98,103,111,116,125,133]"
浪淘沙慢,柳永,"[11,23,31,51,53,81,93,106,133]"
歌头,唐庄宗,"[7,16,22,33,40,48,54,65,74,83,99,114,136]"
多丽,晁补之,"[9,22,36,51,63,74,87,101,116,128,139]"
玉女摇仙佩,柳永,"[14,28,33,42,55,68,84,98,103,112,127,130,137]"
六丑,周邦彦,"[12,21,25,39,46,54,60,69,73,78,86,92,101,108,121,128,140]"
玉抱肚,杨无咎,"[4,8,21,36,44,50,66,74,82,95,99,109,119,125,141]"
六州歌头,贺铸,"[9,28,31,76,94,104,108,111,139,158,161,182,201,219,229,233]"
夜半乐,柳永,"[15,24,32,42,50,64,73,91,99,111,119,129,137,144]"
宝鼎现,康与之,"[12,26,40,53,60,67,81,95,108,121,132,139,144,157]"
个侬,廖莹中,"[12,27,44,59,70,80,84,91,106,123,131,138,149,159]"
解红慢,无名氏,"[4,12,39,50,59,67,74,83,137,147,156,164,171]"
穆护砂,宋褧,"[5,12,27,35,42,56,90,96,103,118,126,133,184]"
三台,万俟咏,"[13,28,36,43,57,70,78,85,93,100,114,127,142,150,157,171]"
哨遍,苏轼,"[13,33,54,69,107,123,134,150,165,198,223,242]"
戚氏,柳永,"[3,10,21,23,26,33,46,60,73,79,88,99,102,114,128,141,155,195,202,210,222]"
胜州令,郑意娘,"[5,13,26,37,45,50,55,71,84,95,104,109,114,119,127,140,159,169,183,196,210,215]"
莺啼序,吴文英,"[11,24,31,38,49,62,75,89,100,113,132,155,171,184,191,203,226,240]"
清平调辞,李白,"[7,14,28,35,42,56,63,70,84]"
水调歌,第一,"[7,14,28,35,42,56,63,70,84,91,98,112,122,132,139,146,160,167,174,188,195,202,216,223,230,244,251,258,272,282,292]"
凉州歌,第一,"[7,14,28,35,42,56,61,66,76,83,90,104,118,132]"
伊州歌,第一,"[7,14,28,35,42,56,66,76,86,96,106,116,123,130,144,151,158,172,179,186,200,210,220,230,240]"
陆州歌,无名氏,"[10,20,30,40,50,60,70,80,90,100,110,120,130,140]"
调笑令,毛滂,"[2,5,12,19,25,32,38,40,43,50,57,63,70,76,78,81,88,95,101,108,114,116,119,126,133,139,146,152,154,157,164,171,177,184,190,192,195,202,209,215,222,228,230,233,240,247,253,260,266,268,271,278,285,291,298,304,306,309,316,323,329,336,342,344,347,354,361,367,374,380]"
九张机,无名氏,"[3,10,35,38,45,70,73,80,105,108,115,140,143,150,175,178,185,210,213,220,245,248,255,280,283,290,315,317,324,349,351,358,383]"
梅花曲,刘几,"[10,23,33,45,59,71,84,92,105,117,131,142,148,157,169,180,192,206,231,242,255,266,279,288]"
竹枝,孙光宪,"[7,14,28]"
闲中好,郑符,"[8,18]"
啰唝曲,刘采春,"[5,10,20]"
啰唝曲,刘采春,"[7,14,28]"
南歌子,张泌,"[10,17,26]"
南歌子,毛熙震,"[10,17,26,36,43,52]"
南歌子,辛弃疾,"[10,17,26,36,43,52]"
南歌子,无名氏,"[10,17,26,36,43,53]"
南歌子,周邦彦,"[10,17,27,37,44,54]"
南歌子,石孝友,"[10,17,26,36,43,52]"
荷叶杯,顾夐,"[6,8,25,28]"
荷叶杯,韦庄,"[6,8,25,30,43,60,65]"
回波乐,无名氏,"[6,12,24]"
舞马词,张说,"[12,24]"
三台,王建,"[6,12,24]"
凭阑人,倪瓒,"[7,19,25]"
梧叶儿,张可久,"[6,11,17,20,27]"
梧叶儿,张可久,"[6,11,21,26,32]"
梧叶儿,张雨,"[6,11,21,26,33]"
梧叶儿,张可久,"[10,15,25,30]"
渔歌子,南唐李煜,"[14,20,27]"
渔歌子,苏轼,"[6,12,25]"
渔歌子,顾夐,"[6,13,19,25,31,38,44,50]"
渔歌子,孙光宪,"[6,13,25,31,38,50]"
忆江南,欧阳修,"[8,22,27,35,49,54]"
忆江南,冯延巳,"[7,15,34,55,74]"
章台柳,唐妓柳氏,"[6,13,27]"
南乡子,欧阳炯,"[4,11,18,21,28]"
南乡子,冯延巳,"[5,12,19,21,28]"
南乡子,李珣,"[6,13,20,23,30]"
南乡子,欧阳修,"[4,11,20,27,31,38,47,54]"
南乡子,冯延巳,"[5,12,21,28,33,40,49,56]"
南乡子,王之道,"[5,12,21,28,33,40,49,56]"
南乡子,黄机,"[5,12,22,29,34,41,51,58]"
南乡子,赵长卿,"[5,13,22,29,34,42,51,58]"
捣练子,李石,"[6,13,19,25,32,38]"
春晓曲,张元幹,"[7,13,27]"
寿阳曲,张可久,"[6,13,21,28]"
寿阳曲,张可久,"[10,17,25,32]"
八拍蛮,阎选,"[14,28]"
十样花,李弥逊,"[6,12,20,23,28]"
天净沙,马致远,"[6,12,40]"
甘州曲,顾夐,"[7,13,20,25,33]"
喜春来,周德清,"[14,21,34]"
喜春来,司马九皋,"[14,21,30]"
喜春来,无名氏,"[14,23,26,31]"
秋风清,寇准,"[6,16,30]"
秋风清,刘长卿,"[3,6,16,30]"
抛球乐,皇甫松,"[10,23,33]"
抛球乐,冯延巳,"[7,14,28,40]"
抛球乐,柳永,"[10,25,39,54,71,84,97,111,123,133,148,165,178,187]"
忆王孙,白朴,"[7,14,29]"
忆王孙,无名氏,"[7,14,27,34,41,54]"
金字经,《太平乐府》徐失名,"[10,17,22,36]"
金字经,《太平乐府》徐失名,"[10,29,43]"
遐方怨,孙光宪,"[6,16,23,30,36,46,53,60]"
后庭花破子,赵孟頫,"[5,10,20,23,33]"
如梦令,无名氏,"[6,12,23,25,27,33]"
如梦令,无名氏,"[6,12,23,25,27,36]"
如梦令,无名氏,"[6,12,23,27,36]"
如梦令,吴文英,"[6,12,23,25,27,36]"
如梦令,魏泰,"[6,12,23,25,27,36,42,48,59,61,63,72]"
诉衷情,韦庄,[63]
诉衷情,顾夐,"[1]"
诉衷情,毛文锡,"[7,12,18,23,28,31,38,41]"
诉衷情,魏承班,"[7,12,18,23,28,31,41]"
西溪子,毛文锡,"[1]"
天仙子,和凝,"[7,14,27,34]"
天仙子,韦庄,"[7,14,21,27,34]"
