词牌名,作者,韵律,中,平,仄,总数,分段字数
八拍蛮 ,阎选,平仄仄平平仄仄，平平平仄仄平平。平仄仄平平仄仄，平平仄仄仄平平。,0,15,13,28,"[7, 7, 7, 7]"
字字双 ,王丽贞,平平仄平平仄平。仄仄平平平仄平。平平平仄平仄平。仄平仄仄平仄平。,0,17,11,28,"[7, 7, 7, 7]"
十样花 ,李弥逊,仄仄平平平仄。仄仄平平平仄。仄仄平平仄，平平仄，仄平仄。仄平平仄仄。,0,13,15,28,"[6, 6, 5, 3, 3, 5]"
十样花 ,李弥逊,仄仄平平平仄。平仄仄平平仄。仄仄仄平平，平仄仄。仄平仄。仄平平仄仄。,0,12,16,28,"[6, 6, 5, 3, 3, 5]"
天净沙 ,乔吉,仄平平仄平平。仄平平仄平平。仄仄平平仄平。平平平仄。仄平平仄平平。,0,18,10,28,"[6, 6, 6, 4, 6]"
天净沙 ,马致远,平平仄仄平平。仄平平仄平平。仄仄平平仄仄。仄平平仄。仄平平仄平平。,0,16,12,28,"[6, 6, 6, 4, 6]"
甘州曲 ,王衍,仄平平。平仄仄，仄平平。仄平平仄仄平平。仄仄仄平平。仄仄仄、平仄仄平平。,0,14,15,29,"[3, 3, 3, 7, 5, 3, 5]"
甘州曲 ,顾夐,仄平平仄仄平平。平仄仄，仄平平。仄平平仄仄平平。平仄仄平平。平仄仄、平仄仄平平。,0,18,15,33,"[7, 3, 3, 7, 5, 3, 5]"
醉吟商 ,姜夔,仄仄平平，仄仄仄平平仄。仄平平仄。仄仄平平仄。仄仄平平平仄。平平仄仄。,0,13,16,29,"[4, 6, 4, 5, 6, 4]"
乾荷叶 ,刘秉忠,平平仄，仄平平。仄仄平平仄。仄平平。仄平平。平平仄仄仄平平。仄仄平平仄。,0,16,13,29,"[3, 3, 5, 3, 3, 7, 5]"
乾荷叶 ,刘秉忠,平平仄，仄平平。仄仄平平仄。仄平平。仄平平。仄平平仄仄平平。平仄仄、平平仄。,0,17,13,30,"[3, 3, 5, 3, 3, 7, 3, 3]"
喜春来 ,张雨,仄平仄仄平平仄。仄仄平平仄仄平。仄平平仄仄平平。仄仄平。平仄仄平平。,0,14,15,29,"[7, 7, 7, 3, 5]"
喜春来 ,周德清,平平仄仄平平仄。仄仄平平仄仄平。仄平仄仄仄平平。平仄仄。平仄仄平平。,0,14,15,29,"[7, 7, 7, 3, 5]"
喜春来 ,司马九皋,仄平仄仄平平仄。平仄平平仄仄平。仄平平仄仄平平。平仄仄。平仄仄，仄平平。,0,15,15,30,"[7, 7, 7, 3, 3, 3]"
喜春来 ,无名氏,仄平仄仄平平仄。平仄平平仄仄平。仄平平，平仄仄，仄平平。平仄平。平仄仄平平。,0,17,14,31,"[7, 7, 3, 3, 3, 3, 5]"
踏歌词 ,崔液,仄仄平平仄，平平仄仄平。平平平仄仄，仄仄仄平平。平仄仄平平。仄仄仄平平。,0,15,15,30,"[5, 5, 5, 5, 5, 5]"
秋风清 ,李白,平平平。平仄平。仄仄仄平仄，平平平仄平。平平平仄平平仄，仄平仄仄平平平。,0,19,11,30,"[3, 3, 5, 5, 7, 7]"
秋风清 ,寇准,平仄仄，仄平平。平平平仄仄，平仄仄平平。平平平仄平平仄，平仄平平平仄平。,0,19,11,30,"[3, 3, 5, 5, 7, 7]"
秋风清 ,刘长卿,平平仄。平平仄。仄平仄仄平，平仄平平仄。平仄平平仄仄平，仄平平仄平平仄。,0,17,13,30,"[3, 3, 5, 5, 7, 7]"
抛毬乐 ,刘禹锡,仄仄仄平平。平平仄仄平。仄平平仄仄，平仄仄平平。仄仄平平仄，平平仄仄平。,0,15,15,30,"[5, 5, 5, 5, 5, 5]"
抛毬乐 ,皇甫松,平仄平平仄，平平仄仄平。仄仄平。仄平平仄仄，平仄仄平平。仄仄平平仄，平平仄仄平。,0,17,16,33,"[5, 5, 3, 5, 5, 5, 5]"
抛毬乐 ,冯延巳,平仄平平仄仄平。仄平平仄仄平平。仄平平仄平平仄，平仄平平仄仄平。仄仄平平仄，平仄平平仄仄平。,0,22,18,40,"[7, 7, 7, 7, 5, 7]"
抛毬乐 ,柳永,仄平平仄平仄，平仄平仄。仄平平、平仄仄仄，平仄平平，仄平平仄。仄仄仄、平仄平平，仄仄仄、平平平仄。仄仄仄仄平平，仄仄平平，平仄平平仄。仄仄平平仄，平平仄仄，仄平平仄，平平仄仄。仄仄仄平平，仄仄仄、平平平平仄。仄平平平仄，平仄仄平，仄平仄仄。仄仄平仄平平，仄平仄、仄仄平平仄。仄平平，平仄仄，仄仄平平仄仄。仄平仄仄，平仄平平平仄。仄平仄仄，仄平仄仄，仄仄平仄平平仄。仄仄平仄仄，平平仄仄仄平，仄仄平平仄仄。平仄仄平平，仄仄仄、仄仄平平仄。仄仄仄仄平，仄平平仄。,0,81,106,187,"[6, 4, 3, 4, 4, 4, 3, 4, 3, 4, 6, 4, 5, 5, 4, 4, 4, 5, 3, 5, 5, 4, 4, 6, 3, 5, 3, 3, 6, 4, 6, 4, 4, 7, 5, 6, 6, 5, 3, 5, 5, 4]"
法驾导引 ,陈与义,平平仄，平平仄，平仄仄平平。平仄仄平平仄仄，平平平仄仄平平。平仄仄平平。,0,18,12,30,"[3, 3, 5, 7, 7, 5]"
蕃女怨 ,温庭筠,仄平平仄平仄仄。仄仄平仄。仄平平，平仄仄。仄平平仄。仄平平仄仄平平。仄平平。,0,15,16,31,"[7, 4, 3, 3, 4, 7, 3]"
一叶落 ,后唐庄宗,仄仄仄。平平仄。仄平仄仄仄平仄。仄平仄仄平，平平平平仄。平平仄。仄仄平平仄。,0,14,17,31,"[3, 3, 7, 5, 5, 3, 5]"
忆王孙 ,李重元,平平平仄仄平平。仄仄平平平仄平。仄仄平平仄仄平。仄平平。仄仄平平平仄平。,0,18,13,31,"[7, 7, 7, 3, 7]"
忆王孙 ,白朴,平平仄仄仄平平。平仄平平仄仄平。平仄仄平仄仄仄。仄平平。平仄平平平仄仄。,0,16,15,31,"[7, 7, 7, 3, 7]"
忆王孙 ,无名氏,平仄平平平仄仄。平仄仄、平平平仄。仄平平仄仄平平，仄仄仄、平平仄。平仄仄平平仄仄。平仄仄、平平平仄。平平平仄仄平平，仄平仄、平平仄。,0,29,25,54,"[7, 3, 4, 7, 3, 3, 7, 3, 4, 7, 3, 3]"
金字经 ,张可久,仄仄平平仄，仄平平仄平。平仄平平仄仄平。平。仄平平仄平。平平仄。仄平平仄平。,0,18,13,31,"[5, 5, 7, 1, 5, 3, 5]"
金字经 ,《太平乐府》徐失名,平仄平平仄，仄平平仄平。平仄平平平仄平。平。仄平仄仄平。平平仄。仄仄仄、平仄平。,0,18,14,32,"[5, 5, 7, 1, 5, 3, 3, 3]"
金字经 ,《太平乐府》徐失名,仄仄平仄仄，仄平平仄平。仄仄仄、仄平平仄仄。平。仄平平、平仄平。平平仄。仄平平、平仄平。,0,17,17,34,"[5, 5, 3, 5, 1, 3, 3, 3, 3, 3]"
调笑令 ,王建,平仄。平仄。平平平平仄仄。平平仄仄平平。仄仄平平仄平。平仄。平仄。仄仄平平仄仄。,0,17,15,32,"[2, 2, 6, 6, 6, 2, 2, 6]"
遐方怨 ,温庭筠,平仄仄，仄平平。仄仄平平，仄平平平平仄平。仄平平仄仄平平。仄平平仄仄，仄平平。,0,18,14,32,"[3, 3, 4, 7, 7, 5, 3]"
遐方怨 ,孙光宪,平仄仄，仄平平。仄仄平平仄，平平仄仄平。仄平仄仄仄平平。仄平平仄仄平平。平仄仄，仄平平。仄仄平平仄，平平仄仄平。仄平平仄仄平平。仄平平仄仄平平。,0,31,29,60,"[3, 3, 5, 5, 7, 7, 3, 3, 5, 5, 7, 7]"
后庭花破子 ,王恽,仄仄仄平平。平平仄仄平。仄仄平平仄，平平仄仄平。仄平平。仄平仄仄，平平平仄平。,0,17,15,32,"[5, 5, 5, 5, 3, 4, 5]"
后庭花破子 ,赵孟頫,平平仄仄平。平平仄仄平。仄平平平仄，平平仄仄平。仄平平。仄平平仄，仄平仄、平仄平。,0,19,14,33,"[5, 5, 5, 5, 3, 4, 3, 3]"
如梦令 ,后唐庄宗,平仄平平平仄。仄仄仄平平仄。平仄仄平平，平仄仄平平仄。平仄。平仄。平仄仄平平仄。,0,17,16,33,"[6, 6, 5, 6, 2, 2, 6]"
如梦令 ,无名氏,仄仄仄平平仄。仄仄平平仄仄。仄仄仄平平，仄仄平平平仄。平仄。仄仄。平仄仄平平仄。,0,13,20,33,"[6, 6, 5, 6, 2, 2, 6]"
如梦令 ,无名氏,平仄仄平平仄。平仄平平仄仄。平仄仄平平，平仄仄平平仄。平仄。平仄。仄仄仄平平仄。,0,16,17,33,"[6, 6, 5, 6, 2, 2, 6]"
如梦令 ,无名氏,仄仄平平平仄。仄仄仄平仄仄。平仄仄平平，仄仄平平仄仄。平平仄仄。平仄平平平仄。,0,15,18,33,"[6, 6, 5, 6, 4, 6]"
如梦令 ,吴文英,平平平仄仄平。平平仄仄平平。平仄仄平仄，仄平仄仄平平。平平。平平。仄仄仄仄平平。,0,19,14,33,"[6, 6, 5, 6, 2, 2, 6]"
如梦令 ,魏泰,平仄仄平仄仄。仄仄平平平仄。平仄仄平平，平仄仄平平仄。平仄。平仄。平仄平平仄仄。仄仄平平仄仄。平仄平平平仄。平仄仄平平，仄仄仄平仄仄。平仄。平仄。平仄仄平仄仄。,0,30,36,66,"[6, 6, 5, 6, 2, 2, 6, 6, 6, 5, 6, 2, 2, 6]"
诉衷情 ,温庭筠,平仄。平仄。平仄仄。仄平平。平仄仄。平仄。仄平平。仄仄仄平平。平平。平平平仄平。仄平平。,0,19,14,33,"[2, 2, 3, 3, 3, 2, 3, 5, 2, 5, 3]"
诉衷情 ,韦庄,仄仄平平平仄仄，仄平平。平仄仄。平仄。仄平平。平仄仄平平。平平。仄平平仄平。仄平平。,0,19,14,33,"[7, 3, 3, 2, 3, 5, 2, 5, 3]"
诉衷情 ,顾夐,仄仄平平平仄仄，仄平平。平仄仄。平仄。仄平平。平仄仄平平。仄平平。仄仄平、平仄平。仄平平仄平。,0,20,17,37,"[7, 3, 3, 2, 3, 5, 3, 3, 3, 5]"
诉衷情 ,毛文锡,平平平仄仄平平。平仄仄平平。平平仄，仄平平。平仄仄平平。平仄仄平平。仄平平。平平平仄仄平平。仄平平。,0,27,14,41,"[7, 5, 3, 3, 5, 5, 3, 7, 3]"
诉衷情 ,魏承班,平平平仄仄平平。平平仄仄平。平仄仄，仄平平。平仄仄平平。仄仄仄平平。仄平平。平平仄仄平平仄，仄平平。,0,24,17,41,"[7, 5, 3, 3, 5, 5, 3, 7, 3]"
西溪子 ,牛峤,仄仄平平平仄。平仄仄平平仄。仄平平，平仄仄。平仄仄。平仄平平仄仄。仄平平。仄平平。,0,17,16,33,"[6, 6, 3, 3, 3, 6, 3, 3]"
西溪子 ,毛文锡,仄仄平平平仄。平仄平平平仄。仄平平，平平仄。平平仄。平仄仄平平仄。仄仄仄平平。仄平平。,0,20,15,35,"[6, 6, 3, 3, 3, 6, 5, 3]"
天仙子 ,皇甫松,平仄仄平平仄仄。仄平平仄平平仄。平平仄仄仄平平，平仄仄。仄平仄。仄仄仄平平仄仄。,0,15,19,34,"[7, 7, 7, 3, 3, 7]"
天仙子 ,和凝,仄仄平平平仄仄。平仄平平平仄仄。仄平平仄仄平平，仄平平，平仄仄。平仄平平平仄仄。,0,18,16,34,"[7, 7, 7, 3, 3, 7]"
天仙子 ,韦庄,平仄平平平仄仄。平仄平平平仄仄。平平仄仄仄平平。平仄仄，仄平平。平仄平平平仄平。,0,20,14,34,"[7, 7, 7, 3, 3, 7]"
天仙子 ,韦庄,仄仄平平仄仄平。平平仄仄仄平平。仄平平仄仄平平。平仄仄，仄平平。平仄平平仄仄平。,0,18,16,34,"[7, 7, 7, 3, 3, 7]"
天仙子 ,张先,仄仄平平平仄仄。仄仄平平平仄仄。仄平平仄仄平平，平仄仄。平平仄。平仄平平平仄仄。平仄仄平平仄仄。仄仄仄平平仄仄。仄平平仄仄平平，平仄仄。平平仄。平仄仄平平仄仄。,0,32,36,68,"[7, 7, 7, 3, 3, 7, 7, 7, 7, 3, 3, 7]"
风流子 ,孙光宪,平仄平平仄仄。仄仄平平仄仄。平仄仄，仄平平，仄仄仄平平仄。平仄。平仄。仄仄平平平仄。,0,15,19,34,"[6, 6, 3, 3, 6, 2, 2, 6]"
