词牌名,作者,韵律
忆江南 ,冯延巳,仄仄平平平仄仄。仄仄平平，仄平平仄。仄平平仄仄平平。仄平平仄仄平平。平平平仄平平仄。仄仄平平，仄仄平平仄。平平平仄仄平平。平平仄仄仄平平。
潇湘神 ,刘禹锡,平仄平。平仄平。仄平仄仄仄平平。仄仄仄平平仄仄，平平平仄仄平平。
章台柳 ,韩翃,平平仄。平平仄。仄仄平平平仄仄。仄仄平平仄仄平，仄平平仄平平仄。
章台柳 ,唐妓柳氏,平仄平，平平仄。仄仄平平仄平仄。仄仄平平仄仄平，仄仄平平仄平仄。
解红 ,和凝,仄仄仄，仄平平。仄平仄仄平仄平。仄仄平平仄平仄，仄平仄仄仄平平。
赤枣子 ,欧阳炯,仄仄仄，仄平平。平平平仄仄平平。平仄仄平平仄仄，平平仄仄仄平平。
南乡子 ,欧阳炯,仄仄平平。仄平平仄仄平平。仄仄平平平仄仄。平仄。仄仄平平平仄仄。
南乡子 ,欧阳炯,仄仄平平。平平仄仄仄平平。仄仄平平平仄仄。平平仄。仄仄平平平仄仄。
南乡子 ,冯延巳,仄仄仄平平。平仄平平仄仄平。平仄仄平平仄仄。平仄。仄仄平平平仄仄。
南乡子 ,李珣,平仄仄，仄平平。仄平平仄仄平平。仄仄平平平仄仄。平平仄。平仄仄平平仄仄。
南乡子 ,欧阳修,仄仄平平。仄仄平平仄仄平。仄仄平平平仄仄，平平。仄仄平平仄仄平。仄仄平平。仄仄平平仄仄平。平仄仄平平仄仄，平平。平仄平平仄仄平。
南乡子 ,冯延巳,仄仄仄平平。平仄平平仄仄平。平仄仄平平仄仄，平平。平仄平平仄仄平。平仄仄平平。仄仄平平仄仄平。仄仄仄平平仄仄，平平。仄仄平平仄仄平。
南乡子 ,王之道,平仄仄平平。平仄平平仄仄平。平仄平平，平仄仄平平。仄仄平平仄仄平。平仄仄平平。仄仄平平仄仄平。仄仄仄平，平仄仄平平。仄仄平平仄仄平。
南乡子 ,黄机,平仄仄平平。平仄平平仄仄平。平仄仄平，平平仄仄，平平。仄仄平平仄仄平。仄仄仄平平。仄仄平平仄仄平。仄仄仄平，平平仄仄，平平。平仄平平仄仄平。
南乡子 ,赵长卿,仄仄仄平平。平平仄仄，平仄平平。仄仄平平平仄仄，平平。仄仄平平仄仄平。平仄仄平平。平平仄仄，仄仄平平。平仄仄平平仄仄，平平。仄仄平平仄仄平。
捣练子 ,冯延巳,平仄仄，仄平平。仄仄平平仄仄平。平仄仄平平仄仄，仄平平仄仄平平。
捣练子 ,李石,平仄仄，仄平平。仄平平仄仄平平。仄平平，仄仄平。平仄仄，仄平平。平平仄仄仄平平。仄平平，仄仄平。
春晓曲 ,朱敦儒,平平仄仄平平仄。仄仄平平仄仄。仄平仄仄仄平平，仄仄仄平平仄仄。
春晓曲 ,张元干,平平仄仄平平仄。仄平平，平仄仄。仄平平仄仄平平，仄仄平平平仄仄。
桂殿秋 ,向子諲,平仄仄，仄平平。平平仄仄仄平平。平平仄仄平平仄，仄仄平平仄仄平。
寿阳曲 ,张可久,平平仄，平仄平。仄平平、仄平平仄。平平仄平平仄仄。仄平平、仄平平仄。
寿阳曲 ,张可久,平平仄，仄仄仄。仄平平、仄平平仄。仄平平、仄平平仄仄。仄平平、仄平平仄。
寿阳曲 ,张可久,仄仄平平仄，仄平平仄平。仄平平、仄平平仄。仄平平、仄平平仄仄。平仄仄、仄平平仄。
阳关曲 ,王维,仄平平仄仄平平。仄仄平平仄仄平。仄平仄仄仄平仄，平仄平平平仄平。
欸乃曲 ,元结,平仄平平平仄平。平平平仄仄平平。平平仄仄仄平仄，仄仄平平平仄平。
采莲子 ,皇甫松,仄仄平平仄仄平。仄平平仄仄平平。仄平仄仄平平仄，仄仄平平仄仄平。
浪淘沙 ,皇甫松,平平仄仄仄平平。平仄平平仄仄平。仄仄平平平仄仄，平平仄仄仄平平。
杨柳枝 ,温庭筠,平仄平平仄仄平。仄平平仄仄平平。仄平仄仄平平仄，仄仄平平仄仄平。
八拍蛮 ,孙光宪,仄仄仄平平仄平。仄平平仄仄平平。仄仄平平平仄仄，平平平仄仄平平。
八拍蛮 ,阎选,平仄仄平平仄仄，平平平仄仄平平。平仄仄平平仄仄，平平仄仄仄平平。
字字双 ,王丽贞,平平仄平平仄平。仄仄平平平仄平。平平平仄平仄平。仄平仄仄平仄平。
十样花 ,李弥逊,仄仄平平平仄。仄仄平平平仄。仄仄平平仄，平平仄，仄平仄。仄平平仄仄。
十样花 ,李弥逊,仄仄平平平仄。平仄仄平平仄。仄仄仄平平，平仄仄。仄平仄。仄平平仄仄。
