词牌名,作者,韵律
惜分飞 ,无名氏,仄仄平平平仄仄。仄仄仄、仄平平仄。仄仄平平仄。平仄平平、平仄平平仄。仄仄平平平仄仄。仄仄仄、平平仄仄。仄仄平平仄。平仄平平、仄仄平平仄。
惜分飞 ,无名氏,仄仄平平平仄仄。仄平仄、平平仄仄。仄仄平平仄。仄仄平仄平平、平平仄。仄仄平平平仄仄。仄仄仄、平平仄仄。仄仄仄平仄。仄平仄仄平平、平平仄。
孤馆深沉 ,权无染,平平仄仄仄平平。平仄仄平平。仄仄仄平平，仄仄仄平，平仄平平。仄仄仄、仄平平仄，仄仄仄平平。仄平仄，仄平平仄，仄平平仄平平。
促拍采桑子 ,朱敦儒,平仄仄平平。仄平平、平仄平平。平平仄仄，平平仄仄，平仄平平。仄仄平平平仄仄，仄平平、平仄平平。平平仄仄，平平仄仄，仄仄平平。
怨三三 ,李之仪,平平仄仄仄平平。仄仄平平。仄仄平平仄仄平。仄平仄、仄平平。平平仄仄平平。仄平仄、平平仄平。仄仄仄平平。平平平仄，仄仄平平。
使牛子 ,曹冠,仄平仄仄平平仄。平仄仄平仄仄。平仄仄平平，平仄平平仄平仄。仄平仄仄平平仄。平仄平平仄仄。仄仄仄平平，仄仄平平平仄仄。
折丹桂 ,王之道,平平仄仄平平仄。仄仄平平仄。仄平平仄仄平平，仄仄仄、平平仄。平平仄仄平平仄。平仄平平仄。仄平平仄仄平平，仄仄仄、平平仄。
竹香子 ,刘过,仄仄平平平仄。仄仄仄平仄仄。平平仄仄仄平平，仄仄平平仄。平平仄仄仄仄。仄仄平、仄仄平仄。平平仄仄仄平平，仄仄平平仄仄。
城头月 ,马天骥,平平仄仄平平仄。仄仄平平仄。仄仄平平，平平仄仄，仄仄平平仄。仄平平仄平平仄。仄仄平平仄。仄仄平平，平平仄仄，平仄平平仄。
四犯令 ,侯寘,仄仄平平平仄仄。仄仄平平仄。仄仄平平平平仄。平仄仄、平平仄。平仄平平平仄仄。平仄平平仄。仄仄平平平仄仄。平仄仄、平平仄。
醉高歌 ,姚燧,仄平平仄平平。仄仄平平仄仄。平平平仄平平仄。仄仄平平仄仄。平平仄仄平平。仄仄平平仄仄。平平仄仄平仄仄。仄仄平平仄仄。
黄鹤洞仙 ,马钰,平仄仄平平，平仄平平仄。仄仄平平仄仄平，平仄仄。仄仄平平仄。仄仄仄平平，仄仄平平仄。仄仄平平仄仄平，仄仄仄。平仄平平仄。
破字令 ,无名氏,仄仄平平仄。仄仄仄、平平平仄。平平平仄仄平平，仄平平仄仄。平平仄仄平平仄。仄平平、仄平平仄。仄平仄仄，平平仄仄，仄平平仄。
花前饮 ,无名氏,仄平平仄仄平仄。仄平仄、平平平仄。仄仄平仄平，仄仄仄、平平仄。仄仄平平仄平仄。仄平仄、平平平仄。仄仄平仄平，仄仄仄、仄仄仄。
导引 ,无名氏,平平仄仄，平仄仄平平。仄仄仄平平。平平仄仄平平仄，平仄仄平平。平平仄仄仄平平。仄仄仄平平。平平平仄平平仄，平仄仄平平。
导引 ,无名氏,仄平仄仄，平仄仄平平。仄仄仄平平。平平仄仄平平仄，平仄仄平平。平平仄仄平平仄，平仄仄平平。平平仄仄平平仄，平仄仄平平。
导引 ,无名氏,平平仄仄，仄仄仄平平。仄仄仄平平。平平平仄平平仄，仄仄仄平平。仄平仄仄平平仄，平仄仄平平。平平仄仄平平仄，平仄仄平平。仄平平仄，仄仄仄平平。仄仄仄平平。平平仄仄平平仄，平仄仄平平。平平仄仄仄平平。平仄仄平平。平平仄仄平平仄，平仄仄平平。
导引 ,无名氏,平平仄仄，仄仄仄平平。仄仄仄平平。仄平仄仄平平仄，仄仄仄平平。平平仄仄平平仄，仄仄仄平平。平平仄仄平平仄，平仄仄平平。仄平平仄，仄仄仄平平。仄仄仄平平。仄平仄仄平平仄，平仄仄平平。平平仄仄平平仄，仄仄仄平平。平平平仄平平仄，仄仄仄平平。
导引 ,无名氏,仄平仄仄，仄仄仄平平。仄仄仄平平。平平仄仄平平仄，仄仄仄平平。仄平仄仄仄平平。仄仄仄平平。平平仄仄平平仄，仄仄仄平平。平平仄仄，平仄仄平平。仄仄仄平平。平平仄仄平平仄，平仄仄平平。平平仄仄仄平平。平仄仄平平。平平仄仄平平仄，仄仄仄平平。
思越人 ,孙光宪,仄平平，平仄仄，仄平平仄平平。仄仄平平平仄仄，平平平仄平平。仄平平仄平平仄。仄平仄仄平仄。平仄平平平仄仄。平平仄仄平仄。
探春令 ,宋徽宗,平平平仄，仄平平仄，平平平仄。仄平仄仄平平仄。仄平仄、平平仄。平平仄仄平平仄。仄平平平仄。仄仄平、仄仄平平，平仄仄仄平平仄。
探春令 ,杨无咎,仄平平仄，仄平平仄，仄平平仄。仄平仄、平仄平平仄。仄仄仄、平平仄。平平平仄平平仄。仄平平平仄。仄仄平、平仄平平平仄。仄仄平平仄。
探春令 ,赵长卿,仄平平仄，仄平平仄，平平平仄。仄平平、仄仄平平仄。仄平仄、平平仄。仄平平仄平平仄。仄平平平仄。仄仄平仄仄，平平仄仄，仄仄平平仄。
探春令 ,赵长卿,平平平仄，仄平平仄，平平平仄。仄平平仄仄，平平平仄，平仄平平仄。平平仄仄平仄仄。仄平平平仄。仄仄平仄仄，平平仄仄，仄仄平平仄。
探春令 ,赵长卿,平平平仄，仄平平仄，仄平平仄。仄平平、平仄平平仄仄，仄仄平平仄。平平仄仄平平仄。仄平平平仄。仄平平、仄仄仄平仄仄，仄仄平平仄。
探春令 ,赵长卿,平平平仄，仄平平仄，仄平平仄。仄平仄、仄仄平平平仄。平仄平平仄。平平仄仄平平仄。仄平平仄仄。仄平平、仄仄平平平仄，仄仄平平仄。
探春令 ,赵长卿,平平平仄。仄平平仄。平平平仄。仄平平仄仄、平平平仄，仄仄平平仄。仄平平仄平平仄。仄平平仄仄。仄仄平仄仄，平平平仄，仄仄平平仄。
探春令 ,赵长卿,平平平仄，仄平平仄，平平平仄。仄平平平仄，平平仄仄，仄平仄、平平仄。平平平仄平平仄。仄平平平仄。仄仄平平仄，平平平仄，仄仄平平仄。
探春令 ,杨无咎,平平仄仄，仄平平仄，平平平仄。仄仄平、平仄平平仄。仄平仄、平平仄。平平仄仄平平仄。仄平平平仄。仄仄平、仄仄平平仄。仄平仄、平平仄。
探春令 ,晏几道,仄平平仄仄平平，仄平平平仄。仄仄平、平仄平平仄。仄平仄、平平仄。仄平平仄平平仄。仄平平平仄。仄仄平、仄仄平平仄，仄平仄、平平仄。
探春令 ,无名氏,仄平平仄仄平平，仄平平仄仄。仄仄平、仄仄平平仄，仄平仄、平平仄。平平平仄平平仄。仄平平平仄。仄仄平、仄仄平平仄，仄平仄、平平仄。
探春令 ,赵长卿,仄平平仄仄平平，仄平平平仄。仄平平仄仄，平平仄仄，仄仄平平仄。平平仄仄平平仄。仄平平平仄。仄平平仄仄，平平仄仄，仄仄平平仄。
探春令 ,赵长卿,平平仄仄平平仄。仄平平平仄。仄平平仄，平平平仄。平仄仄、平平仄。平平仄平平平仄。仄仄仄仄仄。仄平平仄仄，仄仄仄仄。仄仄平平仄。
越江吟 ,苏易简,平平平仄平平仄。仄仄。仄平仄仄平仄。平平仄。平平仄仄。平平仄。平平平、平仄平仄。仄平仄。平平仄仄仄仄。平平仄。平平仄仄。平平仄。
越江吟 ,苏轼,平平平仄。平平仄。仄仄。仄平平仄平仄。平平仄。平平仄仄。平平仄。仄平平、平仄平仄。仄平仄。平平仄仄平仄。平平仄。平平仄仄。平平仄。
燕归梁 ,晏殊,平仄平平仄仄平。仄平仄平平。平平平仄仄平平。仄平仄、仄平平。平平仄仄，平平仄仄，平仄仄平平。平平平仄仄平平。平平仄、仄平平。
燕归梁 ,史达祖,仄仄平平仄仄平。仄仄仄平平。仄平仄仄仄平平。仄仄仄、仄平平。平平平仄平平仄，仄平仄、仄平平。平平仄仄仄平平。仄仄仄、仄平平。
燕归梁 ,柳永,仄仄平平仄仄平。仄仄平平。仄平平仄仄平平。平平仄、仄平平。平平仄仄平平仄，平平仄、仄平平。仄平平仄仄平平。仄仄仄、仄平平。
燕归梁 ,柳永,平仄平平仄仄平。平平仄、仄平平。仄平平仄仄平平。仄仄仄、仄平平。平平仄仄平平仄，平平仄、仄平平。仄平仄仄仄平平。仄仄仄、仄平平。
雨中花令 ,晏殊,仄仄平平仄仄。仄仄平平仄仄。仄仄平平平仄仄，仄仄平平仄。仄仄仄平平仄仄。仄仄仄、仄平平仄。仄仄仄、仄平平仄仄，仄仄平平仄。
雨中花令 ,毛滂,平仄平平仄仄。仄仄仄平平仄。平仄平平平仄仄，仄仄平平仄。仄仄仄平平仄仄。仄仄仄仄平仄。平仄仄平平，平平仄仄，仄仄平平仄。
雨中花令 ,欧阳修,平仄平平平仄。平仄平平平仄。仄仄平平，平平平仄，仄仄平平仄。仄仄仄平平仄仄。平仄仄平平仄。仄平仄平平，平平仄仄，平仄平平仄。
雨中花令 ,毛滂,平仄仄平仄仄。仄仄仄平平仄。仄仄平平，平平仄仄，平仄平平仄。仄仄平平平仄仄。仄平仄、仄平平仄。平仄仄平，平平仄仄，仄仄平平仄。
雨中花令 ,赵长卿,仄仄平平平仄仄。仄平仄平平仄。仄仄平平，平平仄仄，仄仄平平仄。平仄平平平仄仄。平平仄平平仄。仄仄平平，平平平仄，仄仄平平仄。
雨中花令 ,程垓,仄仄仄平平仄仄。仄仄仄、平平仄仄。仄仄平平，平平仄仄，仄仄平平仄。仄仄仄平平仄仄。仄平仄、仄平平仄。仄仄平平，仄平平仄，仄仄平平仄。
雨中花令 ,贺铸,平仄平平平仄仄。仄仄仄、平平仄仄。仄仄平平，仄平平仄，仄仄平平仄。仄仄仄、平平平仄仄。仄平仄、平平仄仄。仄仄平平，平平仄仄，仄仄平平仄。
雨中花令 ,杨无咎,仄仄仄、平平仄仄。仄仄仄、仄平平仄。仄仄平平，平平平仄，仄仄平平仄。仄仄平平平仄仄。平仄仄、仄平平仄。仄仄平平，平平仄仄，仄仄平平仄。
雨中花令 ,赵长卿,平仄平平平仄。平平仄、仄平平仄。仄仄平平，平平平仄，仄仄平平仄。平仄平平平仄仄。平平仄、仄平仄仄。仄仄平平，平平平仄，仄仄平平仄。
雨中花令 ,王	观,仄仄平平平仄仄。仄平仄、仄平仄仄。仄平仄平平，平平平仄，仄仄平平仄。仄仄平平平仄仄。仄仄仄、平平平仄。仄仄仄平平，平平平仄，仄仄平平仄。
雨中花令 ,张先,仄仄仄平平仄仄。仄平仄、平平平仄。仄平仄、平平平仄仄。仄仄仄、仄平平仄。仄仄仄、平平平仄仄。仄仄仄、平平仄平仄。仄仄仄仄、仄平平仄仄。仄仄仄、仄平平仄。
雨中花令 ,周紫芝,平仄仄、平平平仄，仄仄平平。仄仄平平仄仄，平平仄仄平平。仄平平仄，仄平平仄，仄仄平平。平仄仄、仄平平仄，平仄平平。平仄平平仄仄，平平仄仄平平。仄平平仄，仄平平仄，平仄平平。
凤来朝 ,周邦彦,仄仄平平仄。仄平平、仄平仄仄。仄平平仄仄、平平仄。仄仄仄、仄平仄。仄仄平平平仄。仄平平、仄平仄仄。仄仄仄、平平仄。仄仄仄、仄平仄。
秋夜雨 ,蒋捷,平平仄仄平平仄。平平平仄平仄。平平平仄仄，仄仄仄、平平平仄。平平仄仄平平仄，仄仄平、平仄平仄。仄仄平仄仄。仄仄仄、平平平仄。
伊州令 ,无名氏,平平仄仄平平仄。平仄平平仄。平仄平平平仄平，仄仄仄、平平仄仄。平平平仄平仄。平仄平平仄。平平仄仄仄平平，仄平仄、平平仄仄。
木笪 ,白朴,仄平平仄仄。平仄平平仄。仄仄平平平仄仄。平平平仄仄，仄平平仄。仄平平仄。平仄平平仄。仄仄平平平仄仄。平平平仄仄，仄仄平仄。
迎春乐 ,柳永,仄平平仄平平仄。仄仄仄、平平仄。仄平平、仄仄平平仄。仄仄仄、平平仄。平仄仄、平平平仄。仄仄仄、平平平仄。仄仄平平平仄，仄仄平平仄。
迎春乐 ,晏殊,平平仄仄平平仄。仄平平、仄平仄。仄平平、仄仄平平仄。仄仄仄、平平仄。平仄仄、平平平仄仄。平仄仄、仄平平仄。仄仄平平仄仄，仄仄平平仄。
迎春乐 ,秦观,平平仄仄平平仄。平仄仄、平平仄。仄平平仄平平仄。仄仄仄、平平仄。仄仄仄、仄平仄仄。仄平仄、平平平仄。仄仄平平平仄，仄仄平平仄。
迎春乐 ,杨无咎,平平仄仄平平仄。平平仄、平平仄。仄平平、仄仄平仄。平仄仄、平平仄。仄仄平平平仄仄。仄平仄、平平平仄。仄仄仄、平平仄，仄仄平平仄。
迎春乐 ,贺铸,平平仄仄平平仄。仄平平、仄平仄。平平仄仄平平仄。仄平仄、平平仄。仄仄平平平仄仄。仄平仄、仄平平仄。平仄仄平平，平仄仄、平平仄。
迎春乐 ,无名氏,平平仄仄平平仄。平平仄、平平仄。平平平仄平平仄，平仄仄、平平仄。仄仄平平仄仄仄。仄仄仄、仄平平仄。仄仄仄平平，平平仄、平平仄。
迎春乐 ,周邦彦,平平仄仄平平仄。仄平仄、仄平仄。仄平平、仄仄平平仄。仄仄仄、平平仄。平仄平平平仄仄。仄平仄、平平平仄。仄仄仄平平，仄仄仄，平平仄。
梦仙郎 ,张先,平平平仄。平平仄仄。平仄仄、仄平平仄。平仄仄平平。平仄仄平平。平仄平平平仄。平平仄仄。平仄仄、仄平平仄。平仄仄平平。平仄仄平平。
青门引 ,张先,仄仄平平仄。平仄仄平平仄。平平仄仄仄平平，平平仄仄，仄仄仄平仄。平平仄仄平平仄。仄仄平平仄。仄平仄仄平仄，仄平仄仄平平仄。
菊花新 ,张先,仄仄平平平仄仄。平仄仄平平仄仄。平仄仄平平，平仄仄、仄平平仄。仄平平仄平平仄。仄平平、仄平平仄。平仄仄平平，平仄仄、仄平平仄。
菊花新 ,杜安世,仄仄平平平仄仄。仄仄平平仄平仄。平平仄平仄。平平仄、仄仄平仄。平平平仄平仄仄。平仄平、仄平平仄。仄仄仄平平，平仄仄、仄仄平仄。
醉红妆 ,张先,平平仄仄仄平平。仄平平，仄仄平。仄平平仄仄平平。平平仄，仄平平。平平平仄仄平平。仄平仄，仄平平。仄仄平平平仄仄，平仄仄，仄平平。
思远人 ,晏几道,平仄平平平仄仄，平仄仄平仄。仄平平仄仄，平平平仄，平仄仄平仄。仄平仄仄平平仄。仄仄仄平仄。仄仄仄仄平，仄平平仄，平平仄平仄。
醉花阴 ,毛滂,平仄仄平平仄仄。平仄平平仄。平仄仄平平，仄仄平平，平仄平平仄。仄平仄仄平平仄。平仄平平仄。平仄仄平平，仄仄平平，仄仄平平仄。
望江东 ,黄庭坚,平仄平平仄平仄。仄仄仄、平平仄。平平仄仄仄平仄。仄仄仄、平平仄。平平仄仄平平仄。仄仄仄、平平仄。仄平平仄仄平仄。仄平仄、平平仄。
入塞 ,程垓,仄平平。仄平平、仄仄平。仄平平仄仄，仄仄仄平平。平仄平。仄仄平。仄平平平仄仄平。仄仄平、平仄仄平。平平平仄仄平平。平仄平。仄仄平。
品令 ,曹组,仄仄仄。平平仄、仄仄平平平仄。平平仄、仄仄平平仄，仄仄仄、仄仄仄。仄仄平平仄仄，仄仄平平平仄。仄仄平、平仄平仄仄，仄平平、仄仄仄。
品令 ,赵长卿,平平仄。平平仄，仄平仄仄平仄。仄平仄仄仄平平，平仄平、仄仄仄。仄仄平平平仄仄，仄仄平平平仄。仄平仄仄平平仄，平平仄、仄平仄。
品令 ,周邦彦,仄平平仄。仄平仄、平平平仄。平仄仄仄平平仄。仄平仄仄，平仄平平仄。平仄仄平平仄仄。仄平平平仄。仄平平仄平平仄。仄平平仄。平仄平平仄。
品令 ,陈允平,仄平平仄。平平仄、仄平平仄。平仄仄仄平平仄。仄平仄仄，平仄平平仄。平仄仄平平仄仄。仄平平平仄。仄平平仄平平仄。仄平平仄，平仄平平仄。
品令 ,王行,平平平仄。仄仄仄、平平仄仄。平平平仄平平仄。平平仄仄。仄仄平平仄。仄仄平平平仄仄。仄平平平仄。仄仄平平平仄仄。仄平平仄。平仄平平仄。
品令 ,无名氏,平平平仄。仄平仄、平平仄。仄平平仄，仄平平仄，平平仄仄。平仄平平，平仄仄平平仄。平平平仄。仄仄仄、平平仄。仄平平仄，仄平仄仄，平平仄仄。仄仄平平，仄仄仄平平仄。
品令 ,周紫芝,平平平仄。仄仄仄、平平仄。仄平平仄，仄平平仄，仄平平仄。平仄平平平仄，仄平仄仄。平平平仄。仄仄仄、平平仄。平平仄仄，仄平平仄，仄平平仄。仄仄平平平仄，仄平平仄。
品令 ,曾纡,平平仄仄。平仄平平仄。仄平平仄，仄平平仄，仄平平仄。仄仄平平，仄仄仄平仄仄。平平仄仄。仄平仄、平平仄。平平平仄，平仄平仄，平平平仄。平仄平平，平仄仄平平仄。
品令 ,卓田,仄平仄仄，仄仄仄、平平仄。平平仄仄，仄仄平平仄仄。仄仄平平，平仄仄平平仄。平平仄仄，仄平仄、平平仄。仄平仄仄，平仄平平仄仄。仄仄平平，平仄仄平平仄。
品令 ,李清照,仄仄平平仄。平仄仄、平平仄。仄平仄仄，仄平仄仄、仄平平仄。仄仄平平仄仄，平平仄仄。平平仄仄。仄仄仄、平平仄。仄平平仄，仄仄仄仄、平平仄仄。仄仄平平，平仄仄平仄仄。
品令 ,黄庭坚,仄仄平平仄。仄平仄、平平仄。平平仄仄，仄平仄仄，仄平平仄。平仄平平，仄仄仄仄平仄仄。仄平平仄。仄平仄、平平仄。仄平平仄，仄平仄仄，平平仄仄。仄仄平平，平仄仄仄仄仄。
品令 ,黄庭坚,仄仄平平仄。仄仄仄、平平仄。平平平仄仄平，仄仄平平平仄。仄仄平平平仄，仄仄平仄。仄平仄仄。仄仄仄、仄平仄。仄平平仄仄平，仄仄平平平仄。仄仄平平平仄，仄平仄仄。
引驾行 ,晁补之,平平平仄，平平仄仄平平仄。仄平平、仄平仄，平仄仄平平仄。平仄。仄仄仄、平平平平，仄仄仄平仄。仄平仄、平平仄仄，仄平平、仄平仄。仄仄。平平平仄，仄仄平平仄。仄仄仄、平平平平，仄仄仄平平仄。平仄。仄平平仄仄，平平平仄仄平仄。仄平仄、平平仄仄，仄平平仄。
引驾行 ,柳永,平平平仄，平平仄仄平平仄。仄平平、仄平仄，平平仄平平仄。平仄。仄仄仄平平，平平仄仄仄平仄。仄平仄、平平仄仄，仄平平、仄平仄。仄仄。平平仄仄，仄仄平平平仄。仄仄仄平平，平平仄仄，仄平平仄。平仄。仄平平仄仄，平平平仄仄平仄。仄仄仄、平平仄仄，仄平平仄。
引驾行 ,晁补之,平平平仄，平平仄仄平平仄。仄平平、仄平仄平平，仄平平仄。平仄。仄仄仄平平，平平平仄仄平仄。仄仄仄、平平仄仄，仄平平、仄仄仄。平仄。平平仄仄，仄仄平平平仄。仄仄仄平平，平平仄仄，仄平平仄。仄仄。仄平平平仄，平平平仄仄平仄。仄仄仄、平平仄仄，仄平平仄。
引驾行 ,柳永,平平仄仄，平平仄仄平平仄，仄平平、仄平仄，平平仄仄平平。平平。平平平仄，平平仄仄平仄仄，仄平平、仄仄仄，平平平仄平平。平平。平仄平平仄，仄平平仄仄平平。仄仄仄平平，仄仄仄、平仄平平。平平。平平仄仄，仄仄仄仄平平。仄仄平仄仄，平平仄仄，仄仄平平。平平。平仄平平仄，平平平仄仄平平。仄仄平、平仄仄仄，仄平仄平平。
玉团儿 ,周邦彦,平平仄仄平平仄。仄平仄、平平仄仄。仄仄平平，平平平仄，平仄平仄。平平仄仄平平仄。仄仄仄、平平仄仄。仄仄平平，仄平平仄，平仄仄仄。
倾杯令 ,吕渭老,平仄平平，平平仄仄，仄仄仄平平仄。平仄平平平仄。平仄平平平仄。平平仄仄平平仄。仄平平、平平平仄。平平仄仄平仄，仄仄平平仄仄。
锯解令 ,杨无咎,仄平平仄仄平平，仄仄仄、平平仄仄。平平仄仄仄平平，仄仄仄、仄平仄仄。仄平仄仄。仄仄平平仄仄。平平仄仄仄平平，仄仄仄、仄平仄仄。
双雁儿 ,杨无咎,平平仄仄仄平平。仄仄仄、仄平平。仄平平仄仄平平。仄平平、仄仄平。仄平平仄仄平平。仄仄仄、仄平平。仄平平仄仄平平。仄平平、仄仄平。
寻芳草 ,辛弃疾,仄仄仄平仄。仄平仄、仄平平仄。仄平平、仄仄平仄仄。仄平平、仄平仄。仄仄仄平平，仄平仄、仄平平仄。仄平平、仄仄平平仄。平仄仄、平平仄。
恨来迟 ,王灼,仄仄平平，仄平平仄，仄仄平平。仄仄仄平平，仄平平仄，仄仄平平。仄仄平、仄仄仄平平。仄平平仄平平。仄仄仄平平，平平仄仄，平仄平平。
恨来迟 ,无名氏,仄仄平平，仄仄平平，仄仄平平。仄仄仄、平平仄平平仄，仄仄平平。仄仄仄、平仄仄平平。仄仄仄、平仄平平。仄仄仄、平平仄平平仄，仄仄平平。
珍珠令 ,张炎,平平仄仄平平仄。平平仄。仄仄仄、平平平仄。平仄仄平平，仄平平仄仄。仄仄平平平仄仄。仄平仄、仄平平仄。平仄。仄仄仄平平，平平平仄。
寿延长破字令 ,无名氏,平平仄仄平平仄。仄平平仄仄。仄仄平平平平仄。仄平平、平平仄仄。仄仄平平平平仄。仄平平仄仄。平仄仄仄平平仄。仄仄平、仄平仄仄。
献天寿令 ,无名氏,仄仄平平平仄，平平仄仄平平。平平平仄仄平平。平仄平仄平平。仄仄平平平平仄，平仄仄、仄仄仄平。平平平仄仄平平。平仄仄仄平平。
折花令 ,无名氏,仄仄平平，平平仄仄平平仄。仄仄仄、平平仄。平仄仄平平，仄平平仄。仄仄平仄，平平仄仄平平仄。平仄仄、平平仄。仄仄仄平平，平平仄仄。
红窗听 ,晏殊,仄仄平平平仄仄。平仄仄、仄平平仄。平平平仄平平仄，仄平平平仄。仄仄平平平仄仄。平平仄、平平仄仄，平平仄仄。仄平平仄，仄平平平仄。
上林春令 ,毛滂,平仄平平平仄。仄仄仄、平平仄仄。仄平平仄平平，平仄仄、仄平仄仄。平平仄仄仄仄仄。仄仄仄、仄平平仄。仄平仄仄平平，仄平平、仄平平仄。
红窗迥 ,周邦彦,平仄平，平仄仄。仄平仄仄平，仄平仄仄。平仄仄平平仄。仄平平仄仄。仄仄平平平仄仄，仄仄平仄仄，平平仄仄。平仄仄平平仄。仄仄平仄仄。
红窗迥 ,欧良,平仄仄。仄仄仄。仄仄仄平仄，仄平平仄。平仄仄平仄仄。仄仄平仄仄。平仄仄平平仄仄。仄仄平、仄仄平仄平仄。仄仄平平平仄。仄仄平仄仄。
红罗袄 ,周邦彦,仄仄平平仄，平仄仄平平。仄仄仄平平，平平平仄，仄平平仄，平仄平平。仄平仄、平仄平平。平平仄仄平平。仄仄仄平平。仄仄仄、仄仄仄平平。
折桂令 ,倪瓒,仄平平、仄仄平平。平仄平平，仄仄平平。仄仄平平，平平仄仄，平仄平平。仄平仄、平平仄仄。仄平平、仄仄平平。平仄平平。平仄平平，平仄平平。
折桂令 ,张可久,平平仄仄平平。平仄平平，仄仄平平。仄仄平平，平平仄仄，仄仄平平。平仄平平仄平。仄平平仄平平。平仄平平，平仄平平，仄仄平平。
折桂令 ,张可久,仄平平、仄仄仄平。仄仄平平，仄仄平平。仄仄平平，平平仄仄，仄仄平平。仄仄平，平仄平，平平仄仄。仄平平，平平仄，平仄平平。仄仄平平。平仄平平。仄仄平平，平仄平平。
折桂令 ,白无咎,仄平平仄仄平平，平平仄仄平平。平仄平平，仄仄仄平平。仄平平、平平仄仄，平仄平平。平仄仄仄，仄仄平平。平平仄平，仄平平仄仄，仄仄平平。仄仄平平，仄仄平、平仄平平仄平。仄平平仄，仄平平、仄平平仄平平。仄平仄仄，平仄平平。仄仄平平平仄，平平仄仄平平。
荔子丹 ,无名氏,仄仄平平仄仄平。平仄仄平平。仄平平仄仄平仄，平平仄、仄仄仄平平。平平仄仄仄平平。仄仄仄平平。仄仄平平平仄仄，仄平平、仄仄平平。
临江仙 ,和凝,仄平平仄平平仄，仄平仄仄平平。仄平平仄仄平平。仄平平仄仄平平。仄仄平平平仄仄，仄平平仄平平。平平平仄仄平平。仄平平仄仄平平。
临江仙 ,张泌,平平平仄平平仄，平平仄仄平平。仄平平仄仄平平。仄平平仄，平仄仄平平。仄仄仄平平仄仄，平平仄仄平平。平平仄仄仄平平。仄平平仄，平仄仄平平。
临江仙 ,牛希济,仄仄平平仄仄平。平平仄仄平平。平平仄仄仄平平。仄平平仄，平仄仄平平。平仄仄平平仄仄，平平平仄平平。仄平平仄仄平平。平平平仄，仄仄仄平平。
临江仙 ,（南唐）李煜,平平仄仄平平仄，仄平仄仄平平。平平仄仄仄平平。仄平平仄，平仄仄平平。平平仄仄平平仄，平平仄仄平平。平平仄仄仄平平。仄平平仄，平仄仄平平。
临江仙 ,顾夐,仄仄平平平仄仄，仄平平仄平平。仄平平仄仄平平。仄平平仄，平仄仄，仄平平。仄仄仄平平仄仄，平平平仄平平。仄平平仄仄平平。平平平仄，平仄仄，仄平平。
临江仙 ,徐昌图,仄仄平平平仄，平平平仄平平。平平平仄仄平平。仄平平仄仄，平仄仄平平。平仄仄平平仄，平平平仄平平。仄平平仄仄平平。平平平仄仄，平仄仄平平。
临江仙 ,向子諲,平仄平平平仄，仄平仄仄平平。平平平仄仄平平。平平仄仄，仄仄仄平平。仄仄仄平平仄，平平仄仄平平。平平平仄仄平平。仄平平仄，仄仄仄平平。
临江仙 ,贺铸,仄仄仄平平仄仄，平平平仄平平。仄平仄仄仄平平。仄平平仄仄，平仄仄平平。仄仄平仄平仄仄，平平平仄平平。仄平仄仄仄平平。平平仄仄仄，仄仄仄平平。
临江仙 ,晏几道,平仄平平平仄仄，平平仄仄仄平平。平平仄仄仄平平。仄平平仄仄，平仄仄平平。仄仄平平平仄仄，平平平仄仄平平。仄平平仄仄平平。平平平仄仄，仄仄仄平平。
临江仙 ,冯延巳,仄平平仄平平仄，平平仄仄平平。仄平平仄仄平平。仄平平仄仄，仄仄仄平平。仄平平仄平平仄，平平平仄平平。平平平仄仄平平。仄平平仄，平仄仄平平。
临江仙 ,王观,仄仄平平平仄仄，平平仄仄平平。仄平平仄仄平平。仄平平仄仄，平仄仄平平。仄仄平平平仄仄，仄平平仄平平。平平仄仄仄平平。仄平平仄，平仄仄平平。
浪淘沙令 ,（南唐）李煜,平仄仄平平。平仄平平。平平仄仄仄平平。仄仄仄平平仄仄，仄仄平平。仄仄仄平平。平仄平平。仄平平仄仄平平。平仄仄平平仄仄，平仄平平。
浪淘沙令 ,杜安世,仄仄平平。仄仄平平。平平仄仄仄平平。仄仄平平平仄仄，平仄平平。平仄仄平平。平仄平平。平平平仄仄平平。仄仄仄平平仄仄，平仄平平。
浪淘沙令 ,杜安世,平仄平平。平仄平平。平平仄仄仄平平。仄仄平平，平仄平仄，仄仄平平。仄仄仄平平。仄仄平平。仄平平仄仄平平。平仄仄平平仄仄，仄仄仄平平。
浪淘沙令 ,柳永,仄仄平平。平仄平平。仄平平仄仄平平。仄仄仄平平仄仄，平仄平平。仄仄平平。仄仄平平。仄平仄仄仄平平。平仄仄平平仄仄，平仄平平。
浪淘沙令 ,宋祁,仄平仄仄。平平平仄。平平仄仄平平仄。仄平平、仄仄仄仄平仄仄仄。平平仄仄平平仄。仄平平仄。仄平平仄平平仄。仄平平、仄仄仄平仄平仄。
浪淘沙令 ,杜安世,仄仄平仄。仄平平仄。仄平平仄仄平平，平平平仄，平平仄仄，仄平平仄。仄仄平平仄。仄平平仄。仄平平仄仄平平，平平平仄平平仄。仄平仄平仄。
金错刀 ,冯延巳,平仄仄，仄平平。平平平仄仄平平。平平仄仄平平仄，平仄平平仄仄平。平仄仄，仄平平。平平平仄仄平平。仄平仄仄平平仄，平仄平平仄仄平。
